id;shop_rating;is_open;average_delivery_time;opening_time;closing_time;tags
1;Cheese;false;63252;2022-04-14T17:38:20;2022-04-15T07:09:59;back-end
2;redundant Granite;true;96874;2022-04-14T13:27:00;2022-04-15T07:42:35;Qatar protocol intuitive
3;indexing Automotive Practical;true;35522;2022-04-15T06:49:57;2022-04-15T09:41:33;Paradigm Assurance Distributed
4;Representative Tasty Brunei;false;14744;2022-04-15T08:20:24;2022-04-15T07:30:21;back-end
5;United;false;69879;2022-04-14T19:46:16;2022-04-15T06:38:31;Rapids Mouse indexing
6;solution-oriented reboot;true;88812;2022-04-15T00:35:49;2022-04-14T20:55:33;invoice Valleys bandwidth-monitored
7;application Unbranded;true;33922;2022-04-15T04:11:06;2022-04-15T11:46:33;SMS
8;Re-engineered;true;8262;2022-04-15T01:07:48;2022-04-14T23:36:44;Small Barbados microchip
9;optimal applications;true;74869;2022-04-14T17:34:55;2022-04-14T17:18:07;withdrawal
10;USB pixel capacitor;true;47337;2022-04-15T11:41:10;2022-04-14T22:23:06;Consultant Steel
