id;vehicle_type;nb_earnings;nb_rides;transporter_rating
1;Reduced Jersey;72292;74705;Analyst Arab
2;synthesizing Electronics quantifying;83161;61373;empowering
3;Garden Fantastic applications;99782;34853;navigating Shoes Burundi
4;Marketing North web-enabled;63642;53689;attitude
5;Automotive Rubber copy;82889;85793;Granite Frozen National
6;Card Associate paradigms;64257;51288;Chair
7;Account;77759;13156;Rubber
8;solid;39341;37398;e-business heuristic
9;copying;38735;36550;array
10;Ergonomic Bedfordshire Operations;87664;35373;Reverse-engineered Unbranded systems
